__main__ train:106                                :2187.1 Mb     if args.distributed:
sre_compile _code:611                             :4469.1 Mb     return code
importlib._bootstrap _handle_fromlist:1044        :4469.1 Mb     return module
threading wait:549                                :4469.1 Mb         with self._cond:
dataset __getitem__:36                            :4469.1 Mb                 break
torchvision.transforms.functional to_tensor:96    :4469.1 Mb         img = torch.ByteTensor(torch.ByteStorage.from_buffer(pic.tobytes()))
multiprocessing.queues _start_thread:156          :4469.1 Mb         debug('Queue._start_thread()')
torchvision.transforms.functional to_tensor:96    :4469.1 Mb         img = torch.ByteTensor(torch.ByteStorage.from_buffer(pic.tobytes()))
selectors __init__:64                             :4469.1 Mb         self._selector = selector
models.stylegan2 forward:250                      :4433.1 Mb             out = F.conv2d(inputs, weight, padding=self.padding, groups=batch)
selectors register:238                            :2231.1 Mb         key = SelectorKey(fileobj, self._fileobj_lookup(fileobj), events, data)
torch.nn.modules.module _call_impl:724            :2231.1 Mb         if torch._C._get_tracing_state():
multiprocessing.queues _start_thread:164          :2231.1 Mb                   self._on_queue_feeder_error, self._sem),
importlib._bootstrap _handle_fromlist:1028        :2231.1 Mb             elif x == '*':
sre_compile compile:782                           :2231.1 Mb         p.pattern.groups-1,
torch.nn.modules.module _call_impl:716            :2231.1 Mb         for hook in itertools.chain(
models.stylegan2 forward:250                      :2229.1 Mb             out = F.conv2d(inputs, weight, padding=self.padding, groups=batch)
multiprocessing.queues _start_thread:173          :2229.1 Mb         if not self._joincancelled:
torch.overrides <genexpr>:1087                    :2229.1 Mb         for a in relevant_args
torch.tensor wrapped:23                           :4453.1 Mb         from torch.overrides import has_torch_function, handle_torch_function
torch.overrides has_torch_function:1083           :4453.1 Mb     return _is_torch_function_enabled() and any(
multiprocessing.connection wait:914               :4453.1 Mb             for obj in object_list:
threading __init__:221                            :4453.1 Mb         self.acquire = lock.acquire
torchvision.transforms.functional normalize:276   :4453.1 Mb     mean = torch.as_tensor(mean, dtype=dtype, device=tensor.device)
torch.nn.modules.module _call_impl:729            :4453.1 Mb                 _global_forward_hooks.values(),
multiprocessing.util __init__:197                 :4453.1 Mb         self._callback = callback
importlib._bootstrap __exit__:321                 :4453.1 Mb             if any(arg is not None for arg in args):
models.stylegan2 forward:235                      :4433.1 Mb             out = F.conv_transpose2d(inputs, weight, padding=0, stride=2, groups=batch)
torch.nn.modules.module _call_impl:717            :6621.1 Mb                 _global_forward_pre_hooks.values(),
multiprocessing.queues put:89                     :6621.1 Mb             self._notempty.notify()
torch.overrides has_torch_function:1087           :6621.1 Mb         for a in relevant_args
importlib._bootstrap __exit__:329                 :6621.1 Mb             self._spec._initializing = False
torch.tensor wrapped:26                           :6621.1 Mb         try:
selectors select:413                              :6621.1 Mb         ready = []
threading __init__:232                            :6621.1 Mb         except AttributeError:
torch.tensor <genexpr>:24                         :6621.1 Mb         if not all(type(t) is Tensor for t in args) and has_torch_function(args):
models.stylegan2 forward:250                      :6601.1 Mb             out = F.conv2d(inputs, weight, padding=self.padding, groups=batch)
torch.tensor wrapped:26                           :2231.1 Mb         try:
threading notify:349                              :2231.1 Mb         if not waiters_to_notify:
importlib._bootstrap __exit__:152                 :2231.1 Mb         self._lock.release()
selectors select:422                              :2231.1 Mb             if event & ~self._EVENT_WRITE:
threading __init__:238                            :2231.1 Mb         self._waiters = _deque()
torch.overrides <genexpr>:1084                    :2231.1 Mb         type(a) is not torch.Tensor and
importlib._bootstrap _handle_fromlist:1044        :2231.1 Mb     return module
torchvision.transforms.functional normalize:284   :2231.1 Mb     tensor.sub_(mean).div_(std)
models.stylegan2 forward:250                      :2229.1 Mb             out = F.conv2d(inputs, weight, padding=self.padding, groups=batch)
torch.utils.data._utils.worker is_alive:56        :4453.1 Mb                 self.manager_dead = os.getppid() != self.manager_pid
importlib._bootstrap release:110                  :4453.1 Mb             if self.count == 0:
selectors select:427                              :4453.1 Mb                 ready.append((key, events & key.events))
_weakrefset add:82                                :4453.1 Mb         if self._pending_removals:
torch.overrides has_torch_function:1087           :4453.1 Mb         for a in relevant_args
torchvision.transforms.functional normalize:281   :4453.1 Mb         mean = mean.view(-1, 1, 1)
torch.nn.modules.module _call_impl:749            :4453.1 Mb         return result
torch.nn.modules.module _call_impl:749            :4453.1 Mb         return result
models.stylegan2 forward:235                      :4433.1 Mb             out = F.conv_transpose2d(inputs, weight, padding=0, stride=2, groups=batch)
selectors close:270                               :8815.1 Mb         self._map = None
multiprocessing.queues _start_thread:170          :8815.1 Mb         self._thread.start()
torch.nn.modules.module _call_impl:728            :8815.1 Mb         for hook in itertools.chain(
torch.nn.modules.module _call_impl:749            :8815.1 Mb         return result
torch.utils.data._utils.collate default_collate:48:8815.1 Mb         out = None
torchvision.transforms.functional to_tensor:69    :8815.1 Mb     if isinstance(pic, np.ndarray):
dataset __getitem__:36                            :8815.1 Mb                 break
